type_id,fullname,isactive
1,Breast Pocket Styles,1
1,Cuff Styles,1
1,Double Breasted,1
1,Double Breasted - Alternative Styles,1
1,Front Pockets,1
1,Hip Pockets,1
1,Jacket Facing,1
1,Jacket Vent Styles,1
1,Lapel Styles,1
1,Lower Pocket Styles,1
1,Pants Bottoms,1
1,Pants Fastening,1
1,Pants Styles,1
1,Pants Waistband,1
1,Single Breasted,1
1,Single Breasted - Alternative Styles,1
1,Tuxedo Pants,1
1,Vest Back Styles,1
1,Vest Pockets,1
1,Vest Styles,1
2,Collar Extras,1
2,Collar Styles,1
2,Cuff Styles,1
2,Extra Pics,1
2,Extra Pics of Collars,1
2,Monogram Styles,1
2,Pocket Styles,1
2,Shirt Back Styles,1
2,Shirt Bottom Styles,1
2,Shirts Front Styles,1
